ReturnKey,ReturnDate,OrderDate,SalesOrderNumber,CustomerKey,ProductKey,ReturnQuantity,UnitPrice
31,"Friday, September 14, 2012","Tuesday, August 28, 2012",SO49464,254,462,2,14.129
32,"Thursday, September 13, 2012","Tuesday, August 28, 2012",SO49464,254,399,2,33.775
33,"Wednesday, November 7, 2012","Sunday, October 28, 2012",SO50297,343,407,2,65.602
34,"Monday, November 12, 2012","Sunday, October 28, 2012",SO50314,433,387,2,600.263
35,"Thursday, November 8, 2012","Sunday, October 28, 2012",SO50321,218,375,2,1308.938
36,"Monday, December 10, 2012","Wednesday, November 28, 2012",SO50758,235,233,2,28.84
37,"Tuesday, January 15, 2013","Friday, December 28, 2012",SO51123,290,440,2,858.9
38,"Tuesday, January 8, 2013","Friday, December 28, 2012",SO51146,505,502,2,200.052
39,"Sunday, March 17, 2013","Thursday, February 28, 2013",SO53518,254,598,2,323.994
40,"Tuesday, March 19, 2013","Thursday, February 28, 2013",SO53576,542,400,2,37.152
41,"Wednesday, March 13, 2013","Thursday, February 28, 2013",SO53613,109,353,2,1391.994
42,"Monday, April 8, 2013","Saturday, March 30, 2013",SO55241,146,599,2,323.994
43,"Sunday, April 7, 2013","Saturday, March 30, 2013",SO55291,505,506,2,200.052
44,"Thursday, May 9, 2013","Tuesday, April 30, 2013",SO57136,433,380,2,1466.01
45,"Friday, June 14, 2013","Thursday, May 30, 2013",SO59021,542,588,2,461.694
46,"Sunday, June 16, 2013","Thursday, May 30, 2013",SO59065,235,225,2,5.394
47,"Sunday, July 7, 2013","Sunday, June 30, 2013",SO61195,290,488,2,32.394
48,"Saturday, July 13, 2013","Sunday, June 30, 2013",SO61267,505,573,2,1430.442
49,"Tuesday, August 20, 2013","Wednesday, July 31, 2013",SO63133,605,562,2,1430.442
50,"Friday, August 16, 2013","Wednesday, July 31, 2013",SO63148,361,603,2,72.894
51,"Monday, August 12, 2013","Wednesday, July 31, 2013",SO63156,199,572,2,445.41
52,"Tuesday, August 20, 2013","Wednesday, July 31, 2013",SO63249,343,382,2,672.294
53,"Saturday, September 7, 2013","Thursday, August 29, 2013",SO65199,621,570,2,445.41
54,"Tuesday, September 10, 2013","Thursday, August 29, 2013",SO65263,542,591,2,338.994
55,"Friday, September 6, 2013","Thursday, August 29, 2013",SO65278,308,569,2,445.41
56,"Wednesday, October 9, 2013","Sunday, September 29, 2013",SO67266,146,591,2,338.994
57,"Friday, November 8, 2013","Tuesday, October 29, 2013",SO69408,236,476,2,41.994
58,"Saturday, November 16, 2013","Tuesday, October 29, 2013",SO69525,343,287,2,202.332
59,"Thursday, December 12, 2013","Friday, November 29, 2013",SO71880,542,363,2,1376.994
60,"Thursday, February 16, 2012","Sunday, January 29, 2012",SO47036,596,354,2,1242.852
61,"Wednesday, November 14, 2012","Sunday, October 28, 2012",SO50206,236,356,2,1242.852
62,"Friday, April 20, 2012","Friday, March 30, 2012",SO47666,146,358,2,1229.459
63,"Sunday, May 20, 2012","Monday, April 30, 2012",SO47986,236,358,2,1229.459
64,"Friday, November 16, 2012","Sunday, October 28, 2012",SO50206,236,362,2,1229.459
65,"Friday, November 16, 2012","Sunday, October 28, 2012",SO50206,236,391,2,88.932
66,"Monday, May 14, 2012","Monday, April 30, 2012",SO47986,236,396,2,74.838
67,"Monday, March 11, 2013","Thursday, February 28, 2013",SO53576,542,525,2,158.43
68,"Friday, October 11, 2013","Sunday, September 29, 2013",SO67266,146,525,2,158.43
69,"Wednesday, December 11, 2013","Friday, November 29, 2013",SO71785,272,527,2,158.43
70,"Wednesday, December 18, 2013","Friday, November 29, 2013",SO71785,272,524,2,158.43
71,"Thursday, March 21, 2013","Thursday, February 28, 2013",SO53576,542,551,2,158.43
72,"Monday, December 9, 2013","Friday, November 29, 2013",SO71836,254,551,2,158.43
73,"Wednesday, December 11, 2013","Friday, November 29, 2013",SO71886,109,532,2,149.874
74,"Wednesday, March 20, 2013","Thursday, February 28, 2013",SO53576,542,533,2,149.874
75,"Wednesday, December 11, 2013","Friday, November 29, 2013",SO71785,272,531,2,149.874
76,"Thursday, December 19, 2013","Friday, November 29, 2013",SO71886,109,533,2,149.874
77,"Thursday, May 9, 2013","Tuesday, April 30, 2013",SO57026,361,603,2,72.894
78,"Sunday, November 17, 2013","Tuesday, October 29, 2013",SO69406,361,556,2,105.294
79,"Saturday, May 11, 2013","Tuesday, April 30, 2013",SO57026,361,561,2,1430.442
80,"Friday, March 15, 2013","Thursday, February 28, 2013",SO53605,308,562,2,953.628
81,"Wednesday, November 6, 2013","Tuesday, October 29, 2013",SO69406,361,562,2,1430.442
82,"Thursday, December 12, 2013","Friday, November 29, 2013",SO71835,621,562,2,1430.442
83,"Thursday, October 10, 2013","Sunday, September 29, 2013",SO67266,146,590,2,461.694
84,"Tuesday, December 17, 2013","Friday, November 29, 2013",SO71886,109,588,2,461.694
86,"Monday, August 22, 2011","Monday, August 1, 2011",SO45296,145,215,2,20.187
87,"Monday, February 18, 2013","Monday, January 28, 2013",SO51726,199,497,2,602.346
88,"Friday, January 18, 2013","Friday, December 28, 2012",SO51146,505,492,2,602.346
89,"Wednesday, November 13, 2013","Tuesday, October 29, 2013",SO69406,361,499,2,602.346
90,"Monday, February 6, 2012","Sunday, January 29, 2012",SO47066,218,323,2,469.794
91,"Monday, January 14, 2013","Friday, December 28, 2012",SO51146,505,496,2,602.346
92,"Sunday, February 12, 2012","Sunday, January 29, 2012",SO47066,218,370,2,1466.01
93,"Friday, February 17, 2012","Sunday, January 29, 2012",SO47066,218,329,2,469.794
94,"Sunday, February 12, 2012","Sunday, January 29, 2012",SO47066,218,325,2,469.794
95,"Sunday, August 19, 2012","Tuesday, July 31, 2012",SO49136,343,377,2,1308.938
96,"Thursday, April 11, 2013","Saturday, March 30, 2013",SO55286,253,434,2,356.898
97,"Wednesday, November 13, 2013","Tuesday, October 29, 2013",SO69406,361,217,2,20.994
98,"Monday, February 7, 2011","Saturday, January 29, 2011",SO43866,289,218,2,5.7
99,"Friday, March 11, 2011","Tuesday, March 1, 2011",SO44126,20,218,2,5.7
100,"Saturday, February 11, 2012","Sunday, January 29, 2012",SO47066,218,435,2,324.453
101,"Wednesday, May 8, 2013","Tuesday, April 30, 2013",SO57026,361,586,2,445.41
102,"Saturday, October 13, 2012","Friday, September 28, 2012",SO49826,146,221,2,20.187
103,"Thursday, March 21, 2013","Thursday, February 28, 2013",SO53576,542,512,2,218.454
104,"Monday, October 7, 2013","Sunday, September 29, 2013",SO67266,146,512,2,218.454
105,"Saturday, December 7, 2013","Friday, November 29, 2013",SO71836,254,512,2,218.454
106,"Friday, November 15, 2013","Tuesday, October 29, 2013",SO69406,361,572,2,445.41
107,"Saturday, October 19, 2013","Sunday, September 29, 2013",SO67266,146,589,2,461.694
108,"Saturday, December 14, 2013","Friday, November 29, 2013",SO71886,109,589,2,461.694
109,"Saturday, December 14, 2013","Friday, November 29, 2013",SO71886,109,359,2,1376.994
110,"Saturday, March 9, 2013","Thursday, February 28, 2013",SO53576,542,599,2,323.994
111,"Friday, December 6, 2013","Friday, November 29, 2013",SO71836,254,599,2,323.994
112,"Thursday, May 16, 2013","Tuesday, April 30, 2013",SO57136,433,234,2,29.994
113,"Friday, March 15, 2013","Thursday, February 28, 2013",SO53576,542,298,2,809.76
114,"Wednesday, October 16, 2013","Sunday, September 29, 2013",SO67266,146,298,2,809.76
115,"Monday, August 15, 2011","Monday, August 1, 2011",SO45336,326,351,2,2024.994
116,"Wednesday, December 11, 2013","Friday, November 29, 2013",SO71836,254,306,2,809.76
117,"Sunday, August 21, 2011","Monday, August 1, 2011",SO45296,145,344,2,2039.994
118,"Thursday, March 17, 2011","Tuesday, March 1, 2011",SO44126,20,350,2,2024.994
119,"Tuesday, August 16, 2011","Monday, August 1, 2011",SO45336,326,350,2,2024.994
120,"Thursday, August 18, 2011","Monday, August 1, 2011",SO45296,145,350,2,2024.994
121,"Thursday, February 9, 2012","Sunday, January 29, 2012",SO47066,218,439,2,780.818
122,"Wednesday, March 16, 2011","Tuesday, March 1, 2011",SO44126,20,345,2,2039.994
123,"Monday, February 6, 2012","Sunday, January 29, 2012",SO47066,218,239,2,780.818
124,"Tuesday, February 7, 2012","Sunday, January 29, 2012",SO47066,218,242,2,780.818
125,"Tuesday, January 8, 2013","Friday, December 28, 2012",SO51146,505,570,2,334.058
126,"Monday, May 21, 2012","Monday, April 30, 2012",SO47986,236,364,2,647.994
127,"Saturday, May 11, 2013","Tuesday, April 30, 2013",SO57026,361,564,2,1430.442
128,"Thursday, November 7, 2013","Tuesday, October 29, 2013",SO69406,361,564,2,1430.442
129,"Thursday, February 16, 2012","Sunday, January 29, 2012",SO47066,218,263,2,202.332
130,"Wednesday, January 9, 2013","Friday, December 28, 2012",SO51146,505,574,2,1430.442
131,"Tuesday, May 7, 2013","Tuesday, April 30, 2013",SO57026,361,560,2,728.91
132,"Sunday, January 13, 2013","Friday, December 28, 2012",SO51146,505,573,2,1430.442
133,"Wednesday, August 14, 2013","Wednesday, July 31, 2013",SO63156,199,576,2,1430.442
134,"Thursday, March 21, 2013","Thursday, February 28, 2013",SO53576,542,357,2,1391.994
135,"Wednesday, November 6, 2013","Tuesday, October 29, 2013",SO69406,361,578,2,728.91
136,"Saturday, November 9, 2013","Tuesday, October 29, 2013",SO69406,361,577,2,728.91
137,"Wednesday, May 16, 2012","Monday, April 30, 2012",SO47986,236,289,2,744.273
138,"Friday, May 18, 2012","Monday, April 30, 2012",SO47986,236,294,2,744.273
139,"Sunday, November 11, 2012","Sunday, October 28, 2012",SO50206,236,297,2,736.146
140,"Thursday, August 11, 2011","Monday, August 1, 2011",SO45296,145,307,2,722.595
141,"Tuesday, August 14, 2012","Tuesday, July 31, 2012",SO49136,343,331,2,469.794
142,"Wednesday, August 15, 2012","Tuesday, July 31, 2012",SO49136,343,337,2,469.794
143,"Saturday, March 9, 2013","Thursday, February 28, 2013",SO53576,542,353,2,1391.994
144,"Friday, March 15, 2013","Thursday, February 28, 2013",SO53576,542,596,2,323.994
145,"Friday, December 20, 2013","Friday, November 29, 2013",SO71886,109,361,2,1376.994
146,"Wednesday, January 9, 2013","Friday, December 28, 2012",SO51146,505,565,2,334.058
147,"Tuesday, March 12, 2013","Thursday, February 28, 2013",SO53576,542,513,2,218.454
148,"Tuesday, April 10, 2012","Friday, March 30, 2012",SO47666,146,427,2,209.256
149,"Wednesday, May 16, 2012","Monday, April 30, 2012",SO47986,236,427,2,209.256
150,"Saturday, February 18, 2012","Sunday, January 29, 2012",SO47066,218,381,2,600.263
151,"Saturday, May 12, 2012","Monday, April 30, 2012",SO47986,236,394,2,20.52
152,"Thursday, March 14, 2013","Thursday, February 28, 2013",SO53576,542,398,2,26.724
153,"Saturday, January 7, 2012","Thursday, December 29, 2011",SO46646,325,399,2,33.775
154,"Friday, October 19, 2012","Friday, September 28, 2012",SO49826,146,399,2,33.775
155,"Monday, October 14, 2013","Sunday, September 29, 2013",SO67266,146,402,2,72.162
156,"Wednesday, February 8, 2012","Sunday, January 29, 2012",SO47066,218,407,2,65.602
157,"Tuesday, January 10, 2012","Thursday, December 29, 2011",SO46646,325,410,2,36.447
158,"Saturday, November 17, 2012","Sunday, October 28, 2012",SO50206,236,410,2,36.447
159,"Tuesday, May 21, 2013","Tuesday, April 30, 2013",SO57026,361,514,2,63.9
160,"Saturday, November 9, 2013","Tuesday, October 29, 2013",SO69406,361,514,2,63.9
161,"Friday, December 6, 2013","Friday, November 29, 2013",SO71836,254,555,2,63.9
162,"Sunday, January 6, 2013","Friday, December 28, 2012",SO51146,505,554,2,54.942
163,"Sunday, February 17, 2013","Monday, January 28, 2013",SO51726,199,554,2,54.942
164,"Saturday, March 16, 2013","Thursday, February 28, 2013",SO53576,542,515,2,16.272
165,"Wednesday, October 9, 2013","Sunday, September 29, 2013",SO67266,146,515,2,16.272
166,"Thursday, November 7, 2013","Tuesday, October 29, 2013",SO69406,361,559,2,12.144
167,"Saturday, May 18, 2013","Tuesday, April 30, 2013",SO57026,361,552,2,54.894
168,"Friday, December 6, 2013","Friday, November 29, 2013",SO71836,254,552,2,54.894
169,"Tuesday, November 6, 2012","Sunday, October 28, 2012",SO50206,236,447,2,15
170,"Saturday, November 17, 2012","Sunday, October 28, 2012",SO50206,236,454,2,35.994
171,"Sunday, May 13, 2012","Monday, April 30, 2012",SO47986,236,459,2,53.994
172,"Friday, August 10, 2012","Tuesday, July 31, 2012",SO49136,343,460,2,53.994
173,"Monday, April 8, 2013","Saturday, March 30, 2013",SO55286,253,547,2,48.594
174,"Saturday, December 14, 2013","Friday, November 29, 2013",SO71886,109,543,2,37.254
175,"Thursday, May 10, 2012","Monday, April 30, 2012",SO47986,236,464,2,14.129
176,"Friday, January 11, 2013","Friday, December 28, 2012",SO51146,505,523,2,31.584
177,"Tuesday, February 5, 2013","Monday, January 28, 2013",SO51726,199,523,2,31.584
178,"Sunday, May 12, 2013","Tuesday, April 30, 2013",SO57026,361,523,2,31.584
179,"Thursday, May 16, 2013","Tuesday, April 30, 2013",SO57026,361,465,2,14.694
180,"Friday, November 16, 2012","Sunday, October 28, 2012",SO50206,236,466,2,14.129
181,"Saturday, March 9, 2013","Thursday, February 28, 2013",SO53576,542,542,2,24.294
182,"Thursday, December 19, 2013","Friday, November 29, 2013",SO71836,254,592,2,112.998
183,"Sunday, December 8, 2013","Friday, November 29, 2013",SO71886,109,591,2,112.998
184,"Saturday, January 5, 2013","Friday, December 28, 2012",SO51136,253,606,2,323.994
185,"Tuesday, April 9, 2013","Saturday, March 30, 2013",SO55286,253,606,2,323.994
186,"Sunday, July 14, 2013","Sunday, June 30, 2013",SO61266,668,605,2,323.994
187,"Thursday, May 9, 2013","Tuesday, April 30, 2013",SO57026,361,487,2,32.994
188,"Monday, May 20, 2013","Tuesday, April 30, 2013",SO57136,433,487,2,32.994
189,"Thursday, November 14, 2013","Tuesday, October 29, 2013",SO69406,361,488,2,32.394
190,"Sunday, March 17, 2013","Thursday, February 28, 2013",SO53576,542,593,2,338.994
191,"Thursday, February 7, 2013","Monday, January 28, 2013",SO51726,199,495,2,602.346
192,"Friday, October 18, 2013","Sunday, September 29, 2013",SO67266,146,544,2,48.594
193,"Tuesday, April 17, 2012","Friday, March 30, 2012",SO47666,146,224,2,5.187
194,"Monday, January 16, 2012","Thursday, December 29, 2011",SO46646,325,468,2,22.794
195,"Tuesday, October 16, 2012","Friday, September 28, 2012",SO49826,146,468,2,22.794
196,"Monday, November 12, 2012","Sunday, October 28, 2012",SO50216,2,468,2,22.794
197,"Sunday, July 14, 2013","Sunday, June 30, 2013",SO61266,668,482,2,5.394
198,"Sunday, December 15, 2013","Friday, November 29, 2013",SO71836,254,225,2,5.394
199,"Monday, July 8, 2013","Sunday, June 30, 2013",SO61256,325,474,2,41.994
200,"Wednesday, July 10, 2013","Sunday, June 30, 2013",SO61256,325,475,2,41.994
201,"Sunday, December 8, 2013","Friday, November 29, 2013",SO71836,254,475,2,41.994
202,"Friday, November 16, 2012","Sunday, October 28, 2012",SO50216,2,233,2,28.84
203,"Friday, April 20, 2012","Friday, March 30, 2012",SO47666,146,236,2,28.84
204,"Thursday, May 17, 2012","Monday, April 30, 2012",SO47986,236,236,2,28.84
205,"Tuesday, October 16, 2012","Friday, September 28, 2012",SO49866,200,236,2,28.84
206,"Wednesday, November 7, 2012","Sunday, October 28, 2012",SO50206,236,236,2,28.84
207,"Friday, August 12, 2011","Monday, August 1, 2011",SO45296,145,232,2,28.84
208,"Saturday, January 8, 2011","Wednesday, December 29, 2010",SO43677,679,215,2,20.187
209,"Thursday, February 17, 2011","Saturday, January 29, 2011",SO43907,342,212,2,20.187
210,"Friday, February 18, 2011","Saturday, January 29, 2011",SO43916,348,215,2,20.187
211,"Tuesday, March 15, 2011","Tuesday, March 1, 2011",SO44085,155,223,2,5.187
212,"Saturday, March 12, 2011","Tuesday, March 1, 2011",SO44090,417,220,2,20.187
213,"Saturday, March 19, 2011","Tuesday, March 1, 2011",SO44100,293,296,2,714.704
214,"Monday, March 14, 2011","Tuesday, March 1, 2011",SO44105,453,219,2,5.7
215,"Thursday, March 17, 2011","Tuesday, March 1, 2011",SO44111,460,235,2,28.84
