FinanceKey,Date,OrganizationKey,DepartmentGroupKey,AccountKey,Scenario,Amount
1022,"Saturday, January 29, 2011",8,6,53,Actual,5772.4
1023,"Saturday, January 29, 2011",8,6,54,Actual,211.69
1024,"Saturday, January 29, 2011",8,6,56,Actual,195238.05
1025,"Saturday, January 29, 2011",8,6,57,Actual,4810.26
1026,"Saturday, January 29, 2011",8,6,60,Actual,24000.01
1027,"Saturday, January 29, 2011",8,6,61,Actual,2160.21
1028,"Saturday, January 29, 2011",8,6,62,Actual,2160.21
1029,"Saturday, January 29, 2011",8,6,63,Actual,17318.07
1030,"Saturday, January 29, 2011",8,6,65,Actual,455.64
1031,"Saturday, January 29, 2011",8,6,66,Actual,414.73
1032,"Saturday, January 29, 2011",8,6,67,Actual,207.15
1033,"Saturday, January 29, 2011",8,6,68,Actual,158.66
1034,"Saturday, January 29, 2011",8,6,69,Actual,46.54
1035,"Saturday, January 29, 2011",8,6,71,Actual,31.38
1036,"Saturday, January 29, 2011",8,6,72,Actual,1154.13
1037,"Saturday, January 29, 2011",8,6,73,Actual,284.42
1038,"Saturday, January 29, 2011",8,6,74,Actual,345.03
1039,"Saturday, January 29, 2011",8,6,76,Actual,5117.84
1040,"Saturday, January 29, 2011",8,6,77,Actual,567.76
1041,"Saturday, January 29, 2011",8,6,78,Actual,196.54
1042,"Saturday, January 29, 2011",8,6,80,Actual,701.09
1043,"Saturday, January 29, 2011",8,6,81,Actual,434.42
1044,"Saturday, January 29, 2011",8,6,82,Actual,46.54
1045,"Saturday, January 29, 2011",8,6,83,Actual,158.66
1046,"Saturday, January 29, 2011",8,6,84,Actual,145.02
1047,"Saturday, January 29, 2011",8,6,85,Actual,126.84
1048,"Saturday, January 29, 2011",8,6,87,Actual,546.55
1049,"Saturday, January 29, 2011",8,6,89,Actual,141.99
1050,"Saturday, January 29, 2011",8,6,90,Actual,216.24
1051,"Saturday, January 29, 2011",8,6,91,Actual,-171.64
1052,"Saturday, January 29, 2011",8,6,92,Actual,288.97
1053,"Saturday, January 29, 2011",8,6,94,Actual,62608.31
1054,"Saturday, January 29, 2011",8,6,51,Actual,577260.32
2045,"Tuesday, March 1, 2011",8,6,52,Actual,11236.14
2046,"Tuesday, March 1, 2011",8,6,53,Actual,11236.14
2047,"Tuesday, March 1, 2011",8,6,56,Actual,108586.44
2048,"Tuesday, March 1, 2011",8,6,57,Actual,9363.38
2049,"Tuesday, March 1, 2011",8,6,60,Actual,25939.44
2050,"Tuesday, March 1, 2011",8,6,61,Actual,2075.36
2051,"Tuesday, March 1, 2011",8,6,62,Actual,1557.17
2052,"Tuesday, March 1, 2011",8,6,63,Actual,7490.61
2053,"Tuesday, March 1, 2011",8,6,65,Actual,298.06
2054,"Tuesday, March 1, 2011",8,6,66,Actual,270.78
2055,"Tuesday, March 1, 2011",8,6,67,Actual,140.48
2056,"Tuesday, March 1, 2011",8,6,68,Actual,104.11
2057,"Tuesday, March 1, 2011",8,6,69,Actual,31.38
2058,"Tuesday, March 1, 2011",8,6,71,Actual,43.51
2059,"Tuesday, March 1, 2011",8,6,72,Actual,1498.08
2060,"Tuesday, March 1, 2011",8,6,73,Actual,213.21
2061,"Tuesday, March 1, 2011",8,6,74,Actual,246.54
2062,"Tuesday, March 1, 2011",8,6,76,Actual,3069.32
2063,"Tuesday, March 1, 2011",8,6,77,Actual,507.15
2064,"Tuesday, March 1, 2011",8,6,78,Actual,193.51
2065,"Tuesday, March 1, 2011",8,6,80,Actual,687.46
2066,"Tuesday, March 1, 2011",8,6,81,Actual,425.33
2067,"Tuesday, March 1, 2011",8,6,82,Actual,45.02
2068,"Tuesday, March 1, 2011",8,6,83,Actual,155.63
2069,"Tuesday, March 1, 2011",8,6,84,Actual,140.48
2070,"Tuesday, March 1, 2011",8,6,85,Actual,123.81
2071,"Tuesday, March 1, 2011",8,6,87,Actual,546.55
2072,"Tuesday, March 1, 2011",8,6,89,Actual,137.45
2073,"Tuesday, March 1, 2011",8,6,90,Actual,210.18
2074,"Tuesday, March 1, 2011",8,6,91,Actual,-165.58
2075,"Tuesday, March 1, 2011",8,6,92,Actual,279.87
2076,"Tuesday, March 1, 2011",8,6,94,Actual,43374.62
2077,"Tuesday, March 1, 2011",8,6,51,Actual,374517.15
3063,"Thursday, March 31, 2011",8,6,52,Actual,12848.29
3064,"Thursday, March 31, 2011",8,6,54,Actual,191.99
3065,"Thursday, March 31, 2011",8,6,56,Actual,119236.64
3066,"Thursday, March 31, 2011",8,6,57,Actual,17843.84
3067,"Thursday, March 31, 2011",8,6,60,Actual,29697.09
3068,"Thursday, March 31, 2011",8,6,61,Actual,2376.88
3069,"Thursday, March 31, 2011",8,6,62,Actual,1485.96
3070,"Thursday, March 31, 2011",8,6,63,Actual,12848.29
3071,"Thursday, March 31, 2011",8,6,65,Actual,319.27
3072,"Thursday, March 31, 2011",8,6,66,Actual,290.48
3073,"Thursday, March 31, 2011",8,6,67,Actual,160.18
3074,"Thursday, March 31, 2011",8,6,68,Actual,114.72
3075,"Thursday, March 31, 2011",8,6,69,Actual,32.9
3076,"Thursday, March 31, 2011",8,6,71,Actual,38.96
3077,"Thursday, March 31, 2011",8,6,72,Actual,857.16
3078,"Thursday, March 31, 2011",8,6,73,Actual,246.54
3079,"Thursday, March 31, 2011",8,6,74,Actual,228.36
3080,"Thursday, March 31, 2011",8,6,76,Actual,3463.27
3081,"Thursday, March 31, 2011",8,6,77,Actual,620.79
3082,"Thursday, March 31, 2011",8,6,78,Actual,198.05
3083,"Thursday, March 31, 2011",8,6,80,Actual,740.49
3084,"Thursday, March 31, 2011",8,6,81,Actual,458.67
3085,"Thursday, March 31, 2011",8,6,82,Actual,45.02
3086,"Thursday, March 31, 2011",8,6,83,Actual,157.14
3087,"Thursday, March 31, 2011",8,6,84,Actual,131.39
3088,"Thursday, March 31, 2011",8,6,85,Actual,125.33
3089,"Thursday, March 31, 2011",8,6,87,Actual,682.91
3090,"Thursday, March 31, 2011",8,6,89,Actual,128.36
3091,"Thursday, March 31, 2011",8,6,90,Actual,196.54
3092,"Thursday, March 31, 2011",8,6,91,Actual,-154.98
3093,"Thursday, March 31, 2011",8,6,92,Actual,261.69
3094,"Thursday, March 31, 2011",8,6,94,Actual,40494.26
3095,"Thursday, March 31, 2011",8,6,51,Actual,428254.52
4087,"Sunday, May 1, 2011",8,6,52,Actual,48768.66
4088,"Sunday, May 1, 2011",8,6,53,Actual,20901.47
4089,"Sunday, May 1, 2011",8,6,54,Actual,1335.95
4090,"Sunday, May 1, 2011",8,6,56,Actual,214285.38
4091,"Sunday, May 1, 2011",8,6,57,Actual,23224.24
4092,"Sunday, May 1, 2011",8,6,60,Actual,23757.58
4093,"Sunday, May 1, 2011",8,6,61,Actual,1901.12
4094,"Sunday, May 1, 2011",8,6,62,Actual,1188.98
4095,"Sunday, May 1, 2011",8,6,63,Actual,20901.47
4096,"Sunday, May 1, 2011",8,6,65,Actual,243.51
4097,"Sunday, May 1, 2011",8,6,66,Actual,220.78
4098,"Sunday, May 1, 2011",8,6,67,Actual,122.3
4099,"Sunday, May 1, 2011",8,6,68,Actual,91.99
4100,"Sunday, May 1, 2011",8,6,69,Actual,25.32
4101,"Sunday, May 1, 2011",8,6,71,Actual,43.51
4102,"Sunday, May 1, 2011",8,6,72,Actual,1393.53
4103,"Sunday, May 1, 2011",8,6,73,Actual,198.05
4104,"Sunday, May 1, 2011",8,6,74,Actual,213.21
4105,"Sunday, May 1, 2011",8,6,76,Actual,5289.06
4106,"Sunday, May 1, 2011",8,6,77,Actual,492
4107,"Sunday, May 1, 2011",8,6,78,Actual,178.36
4108,"Sunday, May 1, 2011",8,6,80,Actual,643.52
4109,"Sunday, May 1, 2011",8,6,81,Actual,398.06
4110,"Sunday, May 1, 2011",8,6,82,Actual,40.48
4111,"Sunday, May 1, 2011",8,6,83,Actual,141.99
4112,"Sunday, May 1, 2011",8,6,84,Actual,123.81
4113,"Sunday, May 1, 2011",8,6,85,Actual,114.72
4114,"Sunday, May 1, 2011",8,6,87,Actual,546.55
4115,"Sunday, May 1, 2011",8,6,89,Actual,120.78
4116,"Sunday, May 1, 2011",8,6,90,Actual,185.93
4117,"Sunday, May 1, 2011",8,6,91,Actual,-147.4
4118,"Sunday, May 1, 2011",8,6,92,Actual,248.06
4119,"Sunday, May 1, 2011",8,6,94,Actual,78375.27
4120,"Sunday, May 1, 2011",8,6,51,Actual,696706.49
5113,"Tuesday, May 31, 2011",8,6,52,Actual,37676.03
5114,"Tuesday, May 31, 2011",8,6,53,Actual,9419.44
5115,"Tuesday, May 31, 2011",8,6,54,Actual,2.6
5116,"Tuesday, May 31, 2011",8,6,56,Actual,153510
5117,"Tuesday, May 31, 2011",8,6,57,Actual,3925.4
5118,"Tuesday, May 31, 2011",8,6,60,Actual,23031.81
5119,"Tuesday, May 31, 2011",8,6,61,Actual,2073.85
5120,"Tuesday, May 31, 2011",8,6,62,Actual,2073.85
5121,"Tuesday, May 31, 2011",8,6,63,Actual,18839.31
5122,"Tuesday, May 31, 2011",8,6,65,Actual,473.82
5123,"Tuesday, May 31, 2011",8,6,66,Actual,429.88
5124,"Tuesday, May 31, 2011",8,6,67,Actual,213.21
5125,"Tuesday, May 31, 2011",8,6,68,Actual,164.72
5126,"Tuesday, May 31, 2011",8,6,69,Actual,48.05
5127,"Tuesday, May 31, 2011",8,6,71,Actual,49.57
5128,"Tuesday, May 31, 2011",8,6,72,Actual,470.79
5129,"Tuesday, May 31, 2011",8,6,73,Actual,292
5130,"Tuesday, May 31, 2011",8,6,74,Actual,354.12
5131,"Tuesday, May 31, 2011",8,6,76,Actual,4275.4
5132,"Tuesday, May 31, 2011",8,6,77,Actual,573.82
5133,"Tuesday, May 31, 2011",8,6,78,Actual,185.93
5134,"Tuesday, May 31, 2011",8,6,80,Actual,669.28
5135,"Tuesday, May 31, 2011",8,6,81,Actual,414.73
5136,"Tuesday, May 31, 2011",8,6,82,Actual,43.51
5137,"Tuesday, May 31, 2011",8,6,83,Actual,149.57
5138,"Tuesday, May 31, 2011",8,6,84,Actual,132.9
5139,"Tuesday, May 31, 2011",8,6,85,Actual,119.27
5140,"Tuesday, May 31, 2011",8,6,87,Actual,546.55
5141,"Tuesday, May 31, 2011",8,6,89,Actual,129.87
5142,"Tuesday, May 31, 2011",8,6,90,Actual,198.05
5143,"Tuesday, May 31, 2011",8,6,91,Actual,-156.49
5144,"Tuesday, May 31, 2011",8,6,92,Actual,264.72
5145,"Tuesday, May 31, 2011",8,6,94,Actual,53259.65
5146,"Tuesday, May 31, 2011",8,6,51,Actual,470964.4
6140,"Friday, July 1, 2011",8,6,52,Actual,2984.47
6141,"Friday, July 1, 2011",8,6,53,Actual,17908.99
6142,"Friday, July 1, 2011",8,6,54,Actual,213.21
6143,"Friday, July 1, 2011",8,6,56,Actual,98228.67
6144,"Friday, July 1, 2011",8,6,57,Actual,2487.49
6145,"Friday, July 1, 2011",8,6,60,Actual,16546.84
6146,"Friday, July 1, 2011",8,6,61,Actual,1655.66
6147,"Friday, July 1, 2011",8,6,62,Actual,1323.83
6148,"Friday, July 1, 2011",8,6,63,Actual,8954.28
6149,"Friday, July 1, 2011",8,6,65,Actual,323.81
6150,"Friday, July 1, 2011",8,6,66,Actual,293.51
6151,"Friday, July 1, 2011",8,6,67,Actual,151.08
6152,"Friday, July 1, 2011",8,6,68,Actual,110.17
6153,"Friday, July 1, 2011",8,6,69,Actual,32.9
6154,"Friday, July 1, 2011",8,6,71,Actual,28.35
6155,"Friday, July 1, 2011",8,6,72,Actual,1193.53
6156,"Friday, July 1, 2011",8,6,73,Actual,201.08
6157,"Friday, July 1, 2011",8,6,74,Actual,323.81
6158,"Friday, July 1, 2011",8,6,76,Actual,2693.56
6159,"Friday, July 1, 2011",8,6,77,Actual,422.3
6160,"Friday, July 1, 2011",8,6,78,Actual,141.99
6161,"Friday, July 1, 2011",8,6,80,Actual,487.45
6162,"Friday, July 1, 2011",8,6,81,Actual,301.09
6163,"Friday, July 1, 2011",8,6,82,Actual,31.38
6164,"Friday, July 1, 2011",8,6,83,Actual,108.66
6165,"Friday, July 1, 2011",8,6,84,Actual,95.02
6166,"Friday, July 1, 2011",8,6,85,Actual,85.93
6167,"Friday, July 1, 2011",8,6,87,Actual,410.18
6168,"Friday, July 1, 2011",8,6,89,Actual,91.99
6169,"Friday, July 1, 2011",8,6,90,Actual,141.99
6170,"Friday, July 1, 2011",8,6,91,Actual,-111.04
6171,"Friday, July 1, 2011",8,6,92,Actual,188.96
6172,"Friday, July 1, 2011",8,6,94,Actual,26939.46
6173,"Friday, July 1, 2011",8,6,51,Actual,298476.34
7162,"Monday, August 1, 2011",8,6,52,Actual,40270.01
7163,"Monday, August 1, 2011",8,6,53,Actual,20136.3
7164,"Monday, August 1, 2011",8,6,54,Actual,2.6
7165,"Monday, August 1, 2011",8,6,56,Actual,216364.2
7166,"Monday, August 1, 2011",8,6,60,Actual,19819.63
7167,"Monday, August 1, 2011",8,6,61,Actual,1585.96
7168,"Monday, August 1, 2011",8,6,62,Actual,1188.98
7169,"Monday, August 1, 2011",8,6,63,Actual,25168.22
7170,"Monday, August 1, 2011",8,6,65,Actual,232.9
7171,"Monday, August 1, 2011",8,6,66,Actual,211.69
7172,"Monday, August 1, 2011",8,6,67,Actual,110.17
7173,"Monday, August 1, 2011",8,6,68,Actual,82.9
7174,"Monday, August 1, 2011",8,6,69,Actual,23.81
7175,"Monday, August 1, 2011",8,6,71,Actual,23.81
7176,"Monday, August 1, 2011",8,6,72,Actual,2013.24
7177,"Monday, August 1, 2011",8,6,73,Actual,166.24
7178,"Monday, August 1, 2011",8,6,74,Actual,251.09
7179,"Monday, August 1, 2011",8,6,76,Actual,3999.64
7180,"Monday, August 1, 2011",8,6,77,Actual,384.42
7181,"Monday, August 1, 2011",8,6,78,Actual,137.45
7182,"Monday, August 1, 2011",8,6,80,Actual,478.36
7183,"Monday, August 1, 2011",8,6,81,Actual,296.54
7184,"Monday, August 1, 2011",8,6,82,Actual,29.87
7185,"Monday, August 1, 2011",8,6,83,Actual,105.63
7186,"Monday, August 1, 2011",8,6,84,Actual,91.99
7187,"Monday, August 1, 2011",8,6,85,Actual,84.42
7188,"Monday, August 1, 2011",8,6,87,Actual,410.18
7189,"Monday, August 1, 2011",8,6,89,Actual,90.48
7190,"Monday, August 1, 2011",8,6,90,Actual,137.45
7191,"Monday, August 1, 2011",8,6,91,Actual,-108.01
7192,"Monday, August 1, 2011",8,6,92,Actual,182.9
7193,"Monday, August 1, 2011",8,6,94,Actual,44435.24
7194,"Monday, August 1, 2011",8,6,51,Actual,503384.7
8186,"Monday, August 29, 2011",8,6,52,Actual,6102.71
8187,"Monday, August 29, 2011",8,6,53,Actual,18309
8188,"Monday, August 29, 2011",8,6,54,Actual,2.6
8189,"Monday, August 29, 2011",8,6,56,Actual,172896.73
8190,"Monday, August 29, 2011",8,6,57,Actual,15257.43
8191,"Monday, August 29, 2011",8,6,60,Actual,30909.23
8192,"Monday, August 29, 2011",8,6,61,Actual,3092.05
8193,"Monday, August 29, 2011",8,6,62,Actual,1546.56
8194,"Monday, August 29, 2011",8,6,63,Actual,24410.63
8195,"Monday, August 29, 2011",8,6,65,Actual,349.57
8196,"Monday, August 29, 2011",8,6,66,Actual,317.75
8197,"Monday, August 29, 2011",8,6,67,Actual,167.75
8198,"Monday, August 29, 2011",8,6,68,Actual,122.3
8199,"Monday, August 29, 2011",8,6,69,Actual,35.93
8200,"Monday, August 29, 2011",8,6,71,Actual,38.96
8201,"Monday, August 29, 2011",8,6,72,Actual,610.18
8202,"Monday, August 29, 2011",8,6,73,Actual,257.15
8203,"Monday, August 29, 2011",8,6,74,Actual,240.48
8204,"Monday, August 29, 2011",8,6,76,Actual,4840.57
8205,"Monday, August 29, 2011",8,6,77,Actual,628.37
8206,"Monday, August 29, 2011",8,6,78,Actual,204.12
8207,"Monday, August 29, 2011",8,6,80,Actual,764.73
8208,"Monday, August 29, 2011",8,6,81,Actual,473.82
8209,"Monday, August 29, 2011",8,6,82,Actual,48.05
8210,"Monday, August 29, 2011",8,6,83,Actual,164.72
8211,"Monday, August 29, 2011",8,6,84,Actual,138.96
8212,"Monday, August 29, 2011",8,6,85,Actual,131.39
8213,"Monday, August 29, 2011",8,6,87,Actual,682.91
8214,"Monday, August 29, 2011",8,6,89,Actual,135.93
8215,"Monday, August 29, 2011",8,6,90,Actual,207.15
8216,"Monday, August 29, 2011",8,6,91,Actual,-164.07
8217,"Monday, August 29, 2011",8,6,92,Actual,276.84
8218,"Monday, August 29, 2011",8,6,94,Actual,61627.99
8219,"Monday, August 29, 2011",8,6,51,Actual,610295.79
9204,"Thursday, September 29, 2011",8,6,52,Actual,16636.24
9205,"Thursday, September 29, 2011",8,6,53,Actual,4158.73
9206,"Thursday, September 29, 2011",8,6,54,Actual,198.05
9207,"Thursday, September 29, 2011",8,6,56,Actual,112431.96
9208,"Thursday, September 29, 2011",8,6,57,Actual,3466.3
9209,"Thursday, September 29, 2011",8,6,60,Actual,27878.87
9210,"Thursday, September 29, 2011",8,6,61,Actual,2575.37
9211,"Thursday, September 29, 2011",8,6,62,Actual,1431.41
9212,"Thursday, September 29, 2011",8,6,63,Actual,20795.41
9213,"Thursday, September 29, 2011",8,6,65,Actual,279.87
9214,"Thursday, September 29, 2011",8,6,66,Actual,254.12
9215,"Thursday, September 29, 2011",8,6,67,Actual,134.42
9216,"Thursday, September 29, 2011",8,6,68,Actual,98.05
9217,"Thursday, September 29, 2011",8,6,69,Actual,28.35
9218,"Thursday, September 29, 2011",8,6,71,Actual,40.48
9219,"Thursday, September 29, 2011",8,6,72,Actual,1663.23
9220,"Thursday, September 29, 2011",8,6,73,Actual,205.63
9221,"Thursday, September 29, 2011",8,6,74,Actual,235.93
9222,"Thursday, September 29, 2011",8,6,76,Actual,3340.54
9223,"Thursday, September 29, 2011",8,6,77,Actual,502.61
9224,"Thursday, September 29, 2011",8,6,78,Actual,185.93
9225,"Thursday, September 29, 2011",8,6,80,Actual,669.28
9226,"Thursday, September 29, 2011",8,6,81,Actual,414.73
9227,"Thursday, September 29, 2011",8,6,82,Actual,43.51
9228,"Thursday, September 29, 2011",8,6,83,Actual,149.57
9229,"Thursday, September 29, 2011",8,6,84,Actual,132.9
9230,"Thursday, September 29, 2011",8,6,85,Actual,119.27
9231,"Thursday, September 29, 2011",8,6,87,Actual,546.55
9232,"Thursday, September 29, 2011",8,6,89,Actual,129.87
9233,"Thursday, September 29, 2011",8,6,90,Actual,198.05
9234,"Thursday, September 29, 2011",8,6,91,Actual,-156.49
9235,"Thursday, September 29, 2011",8,6,92,Actual,264.72
9236,"Thursday, September 29, 2011",8,6,94,Actual,47383.78
9237,"Thursday, September 29, 2011",8,6,51,Actual,415890.65
10224,"Saturday, October 29, 2011",8,6,52,Actual,21007.53
10225,"Saturday, October 29, 2011",8,6,53,Actual,7002.73
10226,"Saturday, October 29, 2011",8,6,54,Actual,29.87
10227,"Saturday, October 29, 2011",8,6,56,Actual,257105.87
10228,"Saturday, October 29, 2011",8,6,57,Actual,11671
10229,"Saturday, October 29, 2011",8,6,60,Actual,30109.22
10230,"Saturday, October 29, 2011",8,6,61,Actual,3398.11
10231,"Saturday, October 29, 2011",8,6,62,Actual,1854.15
10232,"Saturday, October 29, 2011",8,6,63,Actual,14004.37
10233,"Saturday, October 29, 2011",8,6,65,Actual,310.18
10234,"Saturday, October 29, 2011",8,6,66,Actual,281.39
10235,"Saturday, October 29, 2011",8,6,67,Actual,146.54
10236,"Saturday, October 29, 2011",8,6,68,Actual,110.17
10237,"Saturday, October 29, 2011",8,6,69,Actual,31.38
10238,"Saturday, October 29, 2011",8,6,71,Actual,48.05
10239,"Saturday, October 29, 2011",8,6,72,Actual,1401.11
10240,"Saturday, October 29, 2011",8,6,73,Actual,220.78
10241,"Saturday, October 29, 2011",8,6,74,Actual,254.12
10242,"Saturday, October 29, 2011",8,6,76,Actual,5551.18
10243,"Saturday, October 29, 2011",8,6,77,Actual,513.21
10244,"Saturday, October 29, 2011",8,6,78,Actual,166.24
10245,"Saturday, October 29, 2011",8,6,80,Actual,611.7
10246,"Saturday, October 29, 2011",8,6,81,Actual,378.36
10247,"Saturday, October 29, 2011",8,6,82,Actual,37.45
10248,"Saturday, October 29, 2011",8,6,83,Actual,129.87
10249,"Saturday, October 29, 2011",8,6,84,Actual,110.17
10250,"Saturday, October 29, 2011",8,6,85,Actual,104.11
10251,"Saturday, October 29, 2011",8,6,87,Actual,546.55
10252,"Saturday, October 29, 2011",8,6,89,Actual,108.66
10253,"Saturday, October 29, 2011",8,6,90,Actual,166.24
10254,"Saturday, October 29, 2011",8,6,91,Actual,-130.73
10255,"Saturday, October 29, 2011",8,6,92,Actual,220.78
10256,"Saturday, October 29, 2011",8,6,94,Actual,61521.92
10257,"Saturday, October 29, 2011",8,6,51,Actual,700224.73
11252,"Tuesday, November 29, 2011",8,6,52,Actual,22999.99
11253,"Tuesday, November 29, 2011",8,6,53,Actual,22999.99
11254,"Tuesday, November 29, 2011",8,6,54,Actual,125503.42
11255,"Tuesday, November 29, 2011",8,6,56,Actual,175858.9
11256,"Tuesday, November 29, 2011",8,6,57,Actual,15333.19
11257,"Tuesday, November 29, 2011",8,6,60,Actual,34151.72
11258,"Tuesday, November 29, 2011",8,6,61,Actual,3855.7
11259,"Tuesday, November 29, 2011",8,6,62,Actual,2102.64
11260,"Tuesday, November 29, 2011",8,6,63,Actual,18399.91
11261,"Tuesday, November 29, 2011",8,6,65,Actual,372.3
11262,"Tuesday, November 29, 2011",8,6,66,Actual,337.45
11263,"Tuesday, November 29, 2011",8,6,67,Actual,175.33
11264,"Tuesday, November 29, 2011",8,6,68,Actual,137.45
11265,"Tuesday, November 29, 2011",8,6,69,Actual,38.96
11266,"Tuesday, November 29, 2011",8,6,71,Actual,60.17
11267,"Tuesday, November 29, 2011",8,6,72,Actual,920.8
11268,"Tuesday, November 29, 2011",8,6,73,Actual,276.84
11269,"Tuesday, November 29, 2011",8,6,74,Actual,252.6
11270,"Tuesday, November 29, 2011",8,6,76,Actual,3775.39
11271,"Tuesday, November 29, 2011",8,6,77,Actual,634.43
11272,"Tuesday, November 29, 2011",8,6,78,Actual,228.36
11273,"Tuesday, November 29, 2011",8,6,80,Actual,843.52
11274,"Tuesday, November 29, 2011",8,6,81,Actual,522.3
11275,"Tuesday, November 29, 2011",8,6,82,Actual,55.63
11276,"Tuesday, November 29, 2011",8,6,83,Actual,191.99
11277,"Tuesday, November 29, 2011",8,6,84,Actual,172.3
11278,"Tuesday, November 29, 2011",8,6,85,Actual,154.11
11279,"Tuesday, November 29, 2011",8,6,87,Actual,682.91
11280,"Tuesday, November 29, 2011",8,6,89,Actual,169.27
11281,"Tuesday, November 29, 2011",8,6,90,Actual,257.15
11282,"Tuesday, November 29, 2011",8,6,91,Actual,-203.46
11283,"Tuesday, November 29, 2011",8,6,92,Actual,343.51
11284,"Tuesday, November 29, 2011",8,6,94,Actual,27321.29
11285,"Tuesday, November 29, 2011",8,6,51,Actual,459971.77
12320,"Thursday, December 29, 2011",8,6,52,Actual,70713
12321,"Thursday, December 29, 2011",8,6,53,Actual,53033.89
12322,"Thursday, December 29, 2011",8,6,54,Actual,54083.91
12323,"Thursday, December 29, 2011",8,6,56,Actual,185365.14
12324,"Thursday, December 29, 2011",8,6,57,Actual,88390.61
12325,"Thursday, December 29, 2011",8,6,60,Actual,46662.56
12326,"Thursday, December 29, 2011",8,6,61,Actual,3831.46
12327,"Thursday, December 29, 2011",8,6,62,Actual,4310.25
12328,"Thursday, December 29, 2011",8,6,63,Actual,47141.35
12329,"Thursday, December 29, 2011",8,6,65,Actual,584.43
12330,"Thursday, December 29, 2011",8,6,66,Actual,531.39
12331,"Thursday, December 29, 2011",8,6,67,Actual,266.24
12332,"Thursday, December 29, 2011",8,6,68,Actual,198.05
12333,"Thursday, December 29, 2011",8,6,69,Actual,60.17
12334,"Thursday, December 29, 2011",8,6,71,Actual,88.96
12335,"Thursday, December 29, 2011",8,6,72,Actual,4714.81
12336,"Thursday, December 29, 2011",8,6,73,Actual,355.63
12337,"Thursday, December 29, 2011",8,6,74,Actual,608.67
12338,"Thursday, December 29, 2011",8,6,76,Actual,10298.24
12339,"Thursday, December 29, 2011",8,6,77,Actual,716.25
12340,"Thursday, December 29, 2011",8,6,78,Actual,208.66
12341,"Thursday, December 29, 2011",8,6,80,Actual,772.31
12342,"Thursday, December 29, 2011",8,6,81,Actual,478.36
12343,"Thursday, December 29, 2011",8,6,82,Actual,48.05
12344,"Thursday, December 29, 2011",8,6,83,Actual,167.75
12345,"Thursday, December 29, 2011",8,6,84,Actual,145.02
12346,"Thursday, December 29, 2011",8,6,85,Actual,134.42
12347,"Thursday, December 29, 2011",8,6,87,Actual,682.91
12348,"Thursday, December 29, 2011",8,6,89,Actual,141.99
12349,"Thursday, December 29, 2011",8,6,90,Actual,216.24
12350,"Thursday, December 29, 2011",8,6,91,Actual,-171.64
12351,"Thursday, December 29, 2011",8,6,92,Actual,288.97
12352,"Thursday, December 29, 2011",8,6,94,Actual,147520.5
12353,"Thursday, December 29, 2011",8,6,51,Actual,1178541.22
13774,"Sunday, January 29, 2012",8,6,52,Actual,60537.06
13775,"Sunday, January 29, 2012",8,6,53,Actual,90807.32
13776,"Sunday, January 29, 2012",8,6,54,Actual,53353.59
13777,"Sunday, January 29, 2012",8,6,56,Actual,308791.68
13778,"Sunday, January 29, 2012",8,6,57,Actual,90807.32
